Date,Group,TopicType,Url,Title,RawGithubUrl,ADA Status,Eligible for Exec Doc Conversion?,Reason for Ineligiblity,PageViews,PVMoM,Visitors,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Link_Drilldown_Docs,Link_Trends,Freshness,LastPublished,LastReviewed,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,TopicKey,CSAs
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/node-upgrade-github-actions,Handle AKS node upgrades with GitHub Actions - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/node-upgrade-github-actions.md,,yes,,165,-25.70%,125,H,1,15.80%,35.80%,76.80%,29.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=17ec64a8-eb78-655d-5c96-48b47f16bffc,https://aka.ms/learncontenttrends?p_SelectedPlatformId=17ec64a8-eb78-655d-5c96-48b47f16bffc,> 365 days,########,10/5/2023,27,16.40%,4.20%,79.40%,0.00%,0.00%,6%,0%,76%,8/1/2024,schaffererin,No,,17ec64a8-eb78-655d-5c96-48b47f16bffc,b3702da5-6b76-3acb-a163-646f38fe7ef0,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/node-updates-kured,Handle Linux node reboots with kured - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/node-updates-kured.md,,no,"contains sudo command, which is not supported",379,-23.90%,262,H,0,8.40%,33.20%,87.80%,30.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=69c55b33-28b5-ad22-199a-74b5b69e999d,https://aka.ms/learncontenttrends?p_SelectedPlatformId=69c55b33-28b5-ad22-199a-74b5b69e999d,> 365 days,########,4/19/2023,91,24.00%,12.70%,60.20%,2.60%,0.50%,8%,0%,88%,8/1/2024,nickoman,No,,69c55b33-28b5-ad22-199a-74b5b69e999d,a5865c00-5af9-30b9-a8a8-da7c96067776,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/kubernetes-helm,Install existing applications with Helm in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/kubernetes-helm.md,,yes,,837,-36.90%,653,H,1,10.20%,17.20%,83.00%,45.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=dbd4f42c-9d84-fcb3-9352-c9400df0303b,https://aka.ms/learncontenttrends?p_SelectedPlatformId=dbd4f42c-9d84-fcb3-9352-c9400df0303b,> 365 days,########,5/9/2023,520,62.10%,10.90%,17.60%,9.40%,0.00%,8%,0%,83%,8/1/2024,nickoman,No,,dbd4f42c-9d84-fcb3-9352-c9400df0303b,66ca0f3b-ceee-3434-b735-50ff0737a9eb,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/dapr,Install the Dapr extension for Azure Kubernetes Service (AKS) and Arc-enabled Kubernetes - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/dapr.md,,yes,,433,-31.10%,248,H,0,11.80%,28.90%,85.50%,33.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=0da00d6d-215b-c2ba-1eca-db25a81317f0,https://aka.ms/learncontenttrends?p_SelectedPlatformId=0da00d6d-215b-c2ba-1eca-db25a81317f0,0-90 days,1/16/2025,1/16/2025,176,40.60%,16.40%,39.50%,3.50%,0.00%,12%,0%,86%,8/1/2024,nigreenf,No,,0da00d6d-215b-c2ba-1eca-db25a81317f0,65a9bcb7-3292-3d0d-ae7a-b37ff00fbc4c,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/keda-deploy-add-on-arm,Install the Kubernetes Event-driven Autoscaling (KEDA) add-on using an ARM template - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/keda-deploy-add-on-arm.md,,yes,,210,-16.30%,146,H,0,11.40%,40.00%,83.60%,33.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f2d30b0d-5d0b-d1bc-f937-a7b01ec901da,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f2d30b0d-5d0b-d1bc-f937-a7b01ec901da,> 365 days,8/6/2024,9/26/2023,93,44.30%,2.90%,52.40%,0.50%,0.00%,8%,1%,84%,8/1/2024,nickoman,No,,f2d30b0d-5d0b-d1bc-f937-a7b01ec901da,80006ee2-18f1-335c-a869-b38aaa3e7c08,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/keda-deploy-add-on-cli,Install the Kubernetes Event-driven Autoscaling (KEDA) add-on using the Azure CLI - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/keda-deploy-add-on-cli.md,,yes,,472,-25.20%,292,H,0,6.60%,32.20%,92.10%,39.40%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=0ded465c-fef1-ef3f-beba-c23cb12ff5f8,https://aka.ms/learncontenttrends?p_SelectedPlatformId=0ded465c-fef1-ef3f-beba-c23cb12ff5f8,> 365 days,########,9/26/2023,201,42.60%,12.70%,43.60%,1.10%,0.00%,16%,1%,91%,8/1/2024,raorugan,No,,0ded465c-fef1-ef3f-beba-c23cb12ff5f8,76bed5c2-f412-36ff-9248-a7ab027d4bbe,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/open-service-mesh-deploy-addon-az-cli,Install the Open Service Mesh (OSM) add-on using Azure CLI - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/open-service-mesh-deploy-addon-az-cli.md,,yes,,34,-5.60%,27,H,0,8.80%,26.50%,88.90%,26.50%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9f589d87-88de-3910-7452-bc7b14d82050,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9f589d87-88de-3910-7452-bc7b14d82050,91-180 days,########,9/25/2024,18,52.90%,8.80%,38.20%,0.00%,0.00%,15%,4%,89%,8/1/2024,pgibson,No,,9f589d87-88de-3910-7452-bc7b14d82050,9fa2c022-6d55-3063-987d-7c7a97434d80,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/istio-telemetry,Istio-based service mesh add-on telemetry - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/istio-telemetry.md,,yes,,173,-47.40%,107,H,0,2.30%,33.50%,87.90%,42.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=c165f1c9-c223-28b5-fdbf-a8aec6a8e23c,https://aka.ms/learncontenttrends?p_SelectedPlatformId=c165f1c9-c223-28b5-fdbf-a8aec6a8e23c,181-270 days,########,8/14/2024,56,32.40%,5.80%,56.10%,4.60%,1.20%,13%,0%,87%,8/26/2024,nshankar,No,,c165f1c9-c223-28b5-fdbf-a8aec6a8e23c,e499c200-cc77-33ed-8e05-586a35fda26e,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/control-kubeconfig-access,Limit access to kubeconfig in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/control-kubeconfig-access.md,,yes,,"1,094",-26.10%,782,H,1,12.60%,16.80%,83.40%,40.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=ed2d25be-ce1d-a659-74d5-05f4018c6bfd,https://aka.ms/learncontenttrends?p_SelectedPlatformId=ed2d25be-ce1d-a659-74d5-05f4018c6bfd,> 365 days,########,3/28/2023,646,59.00%,10.70%,28.70%,1.60%,0.00%,15%,1%,83%,8/1/2024,magoedte,No,,ed2d25be-ce1d-a659-74d5-05f4018c6bfd,f93bb72d-1f92-3d67-a290-69db98bdf25d,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/limit-egress-traffic,Limit Network Traffic with Azure Firewall in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/limit-egress-traffic.md,,yes,,"2,446",-18.90%,"1,343",H,1,14.80%,19.00%,82.90%,34.00%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9093ac06-7e4c-9bdf-c441-0421af3ed914,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9093ac06-7e4c-9bdf-c441-0421af3ed914,> 365 days,8/9/2024,12/5/2023,240,9.80%,40.20%,40.70%,9.20%,0.10%,7%,0%,83%,8/1/2024,allensu,No,,9093ac06-7e4c-9bdf-c441-0421af3ed914,9d701001-fc53-3d11-a057-9ca159efe60f,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/manage-local-accounts-managed-azure-ad,Manage local accounts with AKS-managed Microsoft Entra integration - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/manage-local-accounts-managed-azure-ad.md,,yes,,597,-42.00%,396,H,1,10.40%,23.60%,88.60%,37.50%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=7de6525d-caad-1e24-a320-4f716bee8bdc,https://aka.ms/learncontenttrends?p_SelectedPlatformId=7de6525d-caad-1e24-a320-4f716bee8bdc,> 365 days,########,4/20/2023,321,53.80%,10.70%,32.70%,2.80%,0.00%,14%,1%,88%,8/1/2024,nickoman,No,,7de6525d-caad-1e24-a320-4f716bee8bdc,37480845-d63e-3b11-816c-580b17ac372b,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/manage-node-pools,Manage node pools in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/manage-node-pools.md,,yes,,"1,359",-26.10%,"1,035",H,0,8.30%,25.20%,86.10%,31.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f13eae1c-afc5-5eaf-eba5-466da613d3cd,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f13eae1c-afc5-5eaf-eba5-466da613d3cd,> 365 days,2/27/2025,7/19/2023,760,55.90%,9.60%,30.80%,3.80%,0.00%,4%,0%,86%,8/1/2024,schaffererin,No,,f13eae1c-afc5-5eaf-eba5-466da613d3cd,fa47282a-40aa-38d1-857e-bfd71621e0e1,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/manage-ssh-node-access,Manage SSH access on Azure Kubernetes Service cluster nodes - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/manage-ssh-node-access.md,,yes,,693,-17.40%,451,H,1,10.70%,22.70%,91.10%,43.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=29fd376a-0e4a-bcab-8643-51545f7bcb0a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=29fd376a-0e4a-bcab-8643-51545f7bcb0a,181-270 days,########,8/29/2024,273,39.40%,27.00%,30.00%,3.00%,0.60%,16%,1%,91%,8/1/2024,nickoman,No,,29fd376a-0e4a-bcab-8643-51545f7bcb0a,40d558f2-43d5-34da-997c-b0a8e567e404,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/scale-cluster,Manually scale nodes in an Azure Kubernetes Service (AKS) cluster - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/scale-cluster.md,,yes,,983,-27.40%,726,H,0,11.00%,26.00%,86.10%,35.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=6d4f4578-ddac-1cb3-2ea9-415fe4f693f5,https://aka.ms/learncontenttrends?p_SelectedPlatformId=6d4f4578-ddac-1cb3-2ea9-415fe4f693f5,> 365 days,########,1/22/2024,439,44.70%,14.20%,37.30%,3.80%,0.00%,6%,1%,86%,8/1/2024,schaffererin,No,,6d4f4578-ddac-1cb3-2ea9-415fe4f693f5,62440a34-6381-3000-81fe-f33492d4470d,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/eks-web-refactor,Migrate Amazon Web Services (AWS) web application to Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/eks-web-refactor.md,,no,No BASH/terminal commands are present; content is conceptual and procedural only.,26,-36.60%,15,H,1,11.50%,38.50%,66.70%,34.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=18d6a5ad-87d5-78cf-f1c8-a330bae32de9,https://aka.ms/learncontenttrends?p_SelectedPlatformId=18d6a5ad-87d5-78cf-f1c8-a330bae32de9,91-180 days,########,########,6,23.10%,0.00%,73.10%,0.00%,3.80%,0%,0%,67%,########,paolos,No,,18d6a5ad-87d5-78cf-f1c8-a330bae32de9,fef9de68-6838-32f8-ae79-9524921046c1,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/dapr-migration,Migrate from Dapr OSS to the Dapr extension for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/dapr-migration.md,,yes,,29,-47.30%,18,H,0,13.80%,48.30%,88.90%,17.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9b2bc133-9823-fa1a-6e92-6ab175988b4e,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9b2bc133-9823-fa1a-6e92-6ab175988b4e,91-180 days,########,9/5/2024,1,3.40%,3.40%,93.10%,0.00%,0.00%,6%,0%,89%,8/1/2024,hannahhunter,No,,9b2bc133-9823-fa1a-6e92-6ab175988b4e,fcfb8493-f2d0-3504-a86c-2ed91e714fa4,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/app-routing-migration,Migrate from HTTP application routing to the application routing add-on - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/app-routing-migration.md,,yes,,"1,375",62.50%,694,H,1,13.20%,21.20%,86.00%,39.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=4f753c5a-d6da-8ab0-2d29-7d949d60cd56,https://aka.ms/learncontenttrends?p_SelectedPlatformId=4f753c5a-d6da-8ab0-2d29-7d949d60cd56,> 365 days,2/18/2025,11/3/2023,299,21.70%,28.30%,46.00%,3.90%,0.00%,22%,0%,86%,8/1/2024,nickoman,No,,4f753c5a-d6da-8ab0-2d29-7d949d60cd56,66640f23-f40a-3f03-b756-aa62df541d49,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/workload-identity-migrate-from-pod-identity,Migrate your Azure Kubernetes Service (AKS) pod to use workload identity - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/workload-identity-migrate-from-pod-identity.md,,yes,,"1,161",-31.50%,730,H,0,10.30%,28.20%,85.80%,34.40%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9a20b77f-15e2-86b1-633b-98a250cf3059,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9a20b77f-15e2-86b1-633b-98a250cf3059,> 365 days,2/5/2025,7/31/2023,376,32.40%,11.20%,52.50%,3.90%,0.00%,9%,0%,86%,8/1/2024,nickoman,No,,9a20b77f-15e2-86b1-633b-98a250cf3059,1b41c4c1-deec-37f7-9979-ce12f6cdfb4c,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/open-service-mesh-istio-migration-guidance,Migration guidance for Open Service Mesh to Istio - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/open-service-mesh-istio-migration-guidance.md,,yes,,119,8.20%,101,H,0,9.20%,26.10%,78.20%,41.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=89d1eab3-f10f-d161-dac8-750cfdd68cf9,https://aka.ms/learncontenttrends?p_SelectedPlatformId=89d1eab3-f10f-d161-dac8-750cfdd68cf9,91-180 days,########,9/25/2024,22,18.50%,5.00%,73.90%,2.50%,0.00%,2%,0%,78%,8/1/2024,pgibson,No,,89d1eab3-f10f-d161-dac8-750cfdd68cf9,4cfd7aaf-2139-3e57-9c6f-16223ce8d247,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/control-plane-metrics-monitor,Monitor Azure Kubernetes Service (AKS) control plane metrics - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/control-plane-metrics-monitor.md,,yes,,422,-26.90%,291,H,0,6.60%,44.80%,85.60%,27.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=4730febb-3e84-05d1-4fd6-d9afea1a9df6,https://aka.ms/learncontenttrends?p_SelectedPlatformId=4730febb-3e84-05d1-4fd6-d9afea1a9df6,91-180 days,2/27/2025,9/6/2024,98,23.20%,13.50%,57.10%,6.20%,0.00%,4%,0%,85%,12/4/2024,aritraghosh,No,,4730febb-3e84-05d1-4fd6-d9afea1a9df6,b9aadb46-06ac-3293-aac2-aae3201fcf10,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/app-routing-nginx-prometheus,Monitor the ingress-nginx controller metrics in the application routing add-on with Prometheus (preview) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/app-routing-nginx-prometheus.md,,yes,,375,-16.50%,226,H,0,7.50%,34.90%,86.70%,37.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=1f6fc745-3d8e-c317-e606-18e6fdda03b1,https://aka.ms/learncontenttrends?p_SelectedPlatformId=1f6fc745-3d8e-c317-e606-18e6fdda03b1,> 365 days,8/1/2024,7/12/2023,163,43.50%,9.60%,46.10%,0.80%,0.00%,10%,0%,87%,8/1/2024,asabbour,No,,1f6fc745-3d8e-c317-e606-18e6fdda03b1,7f8a4a21-8f29-3517-b4c3-9607aa8eb5a5,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/monitor-aks-mongodb,Monitoring for MongoDB cluster on Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/monitor-aks-mongodb.md,,yes,,18,-10.00%,13,H,1,11.10%,50.00%,69.20%,27.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=82a23c07-5df2-9e2d-7d36-6a246595395e,https://aka.ms/learncontenttrends?p_SelectedPlatformId=82a23c07-5df2-9e2d-7d36-6a246595395e,0-90 days,1/13/2025,1/7/2025,2,11.10%,0.00%,88.90%,0.00%,0.00%,8%,0%,69%,1/13/2025,schaffererin,No,,82a23c07-5df2-9e2d-7d36-6a246595395e,cf48b822-d997-330b-996f-0fa8caac6a08,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/csi-disk-move-subscriptions,Move Azure Disk persistent volumes to another AKS cluster in the same or a different subscription - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/csi-disk-move-subscriptions.md,,yes,,167,-44.50%,112,H,0,13.80%,32.90%,83.90%,29.30%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=8b2e689b-b5e3-66cd-2d05-5ca9046bb48a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=8b2e689b-b5e3-66cd-2d05-5ca9046bb48a,271-365 days,########,4/8/2024,82,49.10%,9.00%,40.70%,1.20%,0.00%,3%,0%,84%,8/1/2024,schaffererin,No,,8b2e689b-b5e3-66cd-2d05-5ca9046bb48a,17087c40-c581-3053-898c-9aadf4b83288,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/node-resource-reservations,Node resource reservations in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/node-resource-reservations.md,,no,no bash/az CLI commands present; content is descriptive and does not provide executable steps,579,-12.50%,393,H,1,14.90%,24.00%,90.10%,38.50%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=d8753340-fc73-ad45-3e4b-767bb99e76e5,https://aka.ms/learncontenttrends?p_SelectedPlatformId=d8753340-fc73-ad45-3e4b-767bb99e76e5,271-365 days,8/1/2024,4/16/2024,236,40.80%,14.30%,43.40%,1.60%,0.00%,7%,0%,90%,8/1/2024,schaffererin,No,,d8753340-fc73-ad45-3e4b-767bb99e76e5,77ce362e-07ee-315e-beb7-175b8f61f8ba,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/optimize-aks-costs,Optimize Azure Kubernetes Service (AKS) usage and costs - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/optimize-aks-costs.md,,no,No bash or Azure CLI commands present. Content is purely conceptual and contains no eligible code blocks.,2,,2,H,0,,,100.00%,50.00%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=a3dacbcf-9507-d2bc-e462-27ee5f6478ab,https://aka.ms/learncontenttrends?p_SelectedPlatformId=a3dacbcf-9507-d2bc-e462-27ee5f6478ab,0-90 days,2/27/2025,2/27/2025,0,0.00%,0.00%,100.00%,0.00%,0.00%,0%,0%,100%,2/27/2025,schaffererin,No,,a3dacbcf-9507-d2bc-e462-27ee5f6478ab,bd20ee7d-4b54-39e5-88f1-697aad405ce9,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/outbound-rules-control-egress,Outbound network and FQDN rules for Azure Kubernetes Service (AKS) clusters - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/outbound-rules-control-egress.md,,no,no supported bash/azurecli commands or code blocks present,"4,801",-8.30%,"2,449",H,1,11.30%,17.60%,88.70%,44.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=cfa549c0-cbd1-536c-3cf9-db585b075743,https://aka.ms/learncontenttrends?p_SelectedPlatformId=cfa549c0-cbd1-536c-3cf9-db585b075743,0-90 days,2/10/2025,########,"1,481",30.80%,31.90%,34.10%,2.90%,0.20%,19%,0%,89%,8/1/2024,allensu,No,,cfa549c0-cbd1-536c-3cf9-db585b075743,4bd8b477-2f7f-3372-8fd4-bbb23cbc3a71,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/use-pod-sandboxing,Pod Sandboxing (preview) with Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/use-pod-sandboxing.md,,yes,,382,-26.10%,229,H,1,12.80%,15.40%,79.50%,40.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=0cd1644d-bf1b-47b0-0fb6-9f7dee133a4e,https://aka.ms/learncontenttrends?p_SelectedPlatformId=0cd1644d-bf1b-47b0-0fb6-9f7dee133a4e,> 365 days,########,6/7/2023,150,39.30%,30.40%,24.60%,4.70%,1.00%,9%,0%,79%,8/1/2024,nickoman,No,,0cd1644d-bf1b-47b0-0fb6-9f7dee133a4e,4cbd59ed-2ef4-3557-bf90-5f5b77eba460,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/rdp,RDP to AKS Windows Server nodes - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/rdp.md,,yes,,159,9.70%,111,H,0,13.80%,25.20%,80.20%,44.00%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=bd58a75b-20b4-1937-426f-7491c149cd3b,https://aka.ms/learncontenttrends?p_SelectedPlatformId=bd58a75b-20b4-1937-426f-7491c149cd3b,> 365 days,########,4/26/2023,71,44.70%,27.00%,25.80%,2.50%,0.00%,8%,1%,80%,8/1/2024,mattmcinnes,No,,bd58a75b-20b4-1937-426f-7491c149cd3b,17ce55e9-12b4-3c27-b85f-0fc18d78098f,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,how-to,https://learn.microsoft.com/en-us/azure/aks/eks-web-rearchitect,Rearchitect AWS EKS web application for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/eks-web-rearchitect.md,,no,"No bash or Azure CLI commands are present; content is entirely conceptual, architectural, or descriptive.",91,-47.40%,54,H,0,9.90%,39.60%,85.20%,34.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9080b251-370d-ab0b-907e-f9df1e0bd4f1,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9080b251-370d-ab0b-907e-f9df1e0bd4f1,91-180 days,########,########,44,48.40%,8.80%,39.60%,0.00%,3.30%,0%,0%,85%,########,paolos,No,,9080b251-370d-ab0b-907e-f9df1e0bd4f1,882b3100-28ff-327b-bcae-7bea2eab4567,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
